Timestamp,Symbol,Price (KRW),P/B Ratio,Trailing P/E,Forward P/E,PEG Ratio,Expected Growth,Price (USD)
2026-05-09 08:38,000660.KS,1686000.0,N/A,N/A,4.56,2.34,396.6%,
2026-05-09 08:38,005930.KS,268500.0,N/A,N/A,5.33,0.15,496.0%,
2026-05-09 08:38,MU,,11.63,35.21,7.34,0.23,756.0%,746.81
2026-05-09 08:43,000660.KS,1686000.0,N/A,N/A,4.56,2.34,396.6%,
2026-05-09 08:43,MU,,11.63,35.21,7.34,0.23,756.0%,746.81
2026-05-10 04:40,000660.KS,1686000.0,9.66,28.6,4.56,2.38,396.6%,
2026-05-10 04:40,MU,,11.63,35.21,7.34,0.26,756.0%,746.81

2026-05-11 14:20,000660.KS,1880000.0,10.77,31.89,5.09,2.38,396.6%,
2026-05-11 14:20,005930.KS,285500.0,4.46,43.49,5.61,0.15,496.0%,
2026-05-11 14:20,MU,,12.17,36.86,7.68,0.26,756.0%,781.78
2026-05-11 14:20,LITE,,84.04,175.12,55.36,0.63,N/A,996.43
